C,10001,1773756231.89
T,9829,0
T,10001,0
C,10116,1773756356.90
C,11629,1773756365.01
T,10116,0
C,13724,1773756414.86
C,11832,1773756423.89
T,13724,0
T,11832,0
C,11637,1773756450.23
C,15351,1773756450.73
T,15351,0
C,13636,1773756475.68
T,11637,0
C,9367,1773756513.10
T,13636,0
C,15469,1773756619.06
T,15469,0
C,15140,1773756639.90
T,9367,0
C,10954,1773756658.70
T,15140,0
C,11629,1773756672.07
T,10954,0
C,9674,1773756704.45
T,9674,0
C,12013,1773756961.50
T,12013,0
C,67253,1773757007.13
T,67253,0
C,61602,1773757036.18
C,9162,1773757098.88
T,11629,0
C,15890,1773757115.00
T,9162,0
C,12832,1773757146.21
T,15890,0
C,15891,1773757150.80
T,12832,0
C,61615,1773757198.89
T,61615,0
C,58444,1773757216.28
T,58444,0
C,58939,1773757369.53
T,58939,0
C,10098,1773757414.90
T,10098,0
C,57801,1773757475.01
T,57801,0
C,7561,1773757499.72
T,7561,0
C,61321,1773757516.88
T,61321,0
C,58468,1773757557.76
T,58468,0
C,61362,1773757622.74
C,61501,1773757738.58
T,61501,0
T,15891,0
C,15974,1773757845.07
C,61488,1773757911.58
T,61488,0
T,15974,0
C,61601,1773757924.12
C,13697,1773757941.74
T,61601,0
C,17046,1773757946.48
T,17046,0
T,13697,0
C,17065,1773758186.73
T,17065,0
C,18182,1773758233.32
C,15872,1773758234.45
T,18182,0
C,17076,1773758298.76
T,15872,0
C,18214,1773758308.42
T,17076,0
T,18214,0
C,10920,1773758491.62
C,17926,1773758496.70
T,17926,0
C,61649,1773758510.09
T,61649,0
C,61607,1773758601.27
T,61607,0
C,61580,1773758617.61
T,61580,0
T,10920,0
C,61605,1773758803.28
C,11549,1773758813.85
T,61605,0
C,10108,1773758901.12
T,10108,0
C,9774,1773758937.49
C,9774,1773759057.87
T,11549,0
C,18187,1773759063.00
C,9607,1773759108.50
T,9607,0
C,18248,1773759171.55
T,18248,0
C,13671,1773759228.96
T,18187,0
C,18331,1773759310.09
T,13671,0
C,17014,1773759313.51
T,17014,0
C,17026,1773759367.81
T,17026,0
C,18162,1773759399.48
T,18331,0
C,10859,1773759436.14
T,18162,0
C,16921,1773759524.60
T,10859,0
T,16921,0
C,18639,1773759561.32
C,13696,1773759570.30
T,18639,0
C,18236,1773759694.08
T,13696,0
